,col
0,ERROR
1,ERROR
2,ERROR
3,"Normal, Dry, Combination, and Oily"
4,ERROR
5,ERROR
6,ERROR
7,"Normal, Dry, Combination, and Oily "
8,ERROR
9,"Sensitive, Normal"
10,"Normal, Dry, Combination, and Oily"
11,"Normal, Combination"
12, Combination and Oily
13,"Normal, Dry, Combination "
14,"Normal, Dry, Combination, and Oily"
15,"Normal, Dry, Combination, and Oily"
16,"Normal, Dry, Combination, and Oily
"
17,"Normal, Dry, Combination, and Oily"
18,"Normal, Dry, Combination, and Oily"
19,"Normal, Dry, Combination, and Oily"
20,"Normal, Dry, Combination, and Oily"
21,"Normal, Dry, Combination, and Oily"
22,"Normal, Combination, and Oily"
23,"Normal, Dry, Combination, and Oily
"
24,Dry 
25,"Normal, Dry, Combination, and Oily
"
26,"Normal, Dry, Combination, and Oily "
27,"Normal, Dry, Combination, and Oily "
28,"Normal, Dry, Combination, and Oily "
29,"Normal, Dry, Combination, and Oily "
30,"Normal, Dry, Combination, and Oily "
31,"Normal, Dry, Combination, and Oily "
32,"Normal, Dry, Combination, and Oily
"
33,"Normal, Dry, Combination, and Oily "
34,"Normal, Dry, Combination, and Oily "
35,"Normal, Dry, Combination, and Oily "
36,"Normal, Dry, Combination, and Oily"
37,ERROR
38,"Normal, Dry, Combination, and Oily
"
39,"Normal, Dry, Combination, and Oily "
40,"Normal, Dry, Combination, and Oily"
41,ERROR
42,"Normal, Dry, Combination, and Oily "
43,"Normal, Dry, Combination, and Oily
"
44,"Normal, Dry, Combination, and Oily"
45,"Normal, Dry, Combination, and Oily
"
46,"Normal, Dry, Combination, and Oily
"
47,ERROR
48,"Normal, Dry, Combination, and Oily
"
49,ERROR
50,"Normal, Dry, Combination, and Oily
"
51,ERROR
52,ERROR
53,ERROR
54,"Normal, Dry, Combination, and Oily
"
55,ERROR
56,ERROR
57,ERROR
58,ERROR
59,ERROR
60,"Normal, Dry, Combination, and Oily "
61,ERROR
62,ERROR
63,ERROR
64,ERROR
65,ERROR
66,ERROR
67,"Normal, Dry, Combination, and Oily
"
68,ERROR
69,ERROR
70,ERROR
71,ERROR
72,ERROR
73,ERROR
74,ERROR
75,ERROR
76,ERROR
77, Combination and Oily 
78,"Normal, Dry, and Combination "
79,ERROR
80,ERROR
81,"Normal, Dry, Combination, and Oily"
82,"Normal, Combination, and Oily "
83,ERROR
84,"Normal, Combination, and Oily "
85,ERROR
86,ERROR
87,ERROR
88,"Normal, Dry, Combination, and Oily"
89,"Normal, Dry, Combination, and Oily "
90,ERROR
91,ERROR
92,ERROR
93,ERROR
94,"Normal, Combination, and Oily"
95,"Normal, Dry, and Combination"
96,ERROR
97,"Normal, Dry, Combination, and Oily"
98,ERROR
99,ERROR
100,"Normal, Dry, and Combination "
101,ERROR
102,"Normal, Dry, Combination, and Oily "
103,"Normal, Dry, Combination, and Oily
"
104,"Normal, Dry, Combination, and Oily "
105,"Normal, Dry, Combination, and Oily "
106,"Normal, Dry, Combination, and Oily "
107,"Normal, Dry, Combination, and Oily "
108,Dry and Normal  
109,"Normal, Dry, Combination, and Oily"
110,"Normal, Dry, Combination, and Oily"
111,"Normal, Dry, Combination, and Oily"
112,"Normal, Dry, Combination, and Oily"
113,ERROR
114,"Normal, Dry, Combination, and Oily "
115,ERROR
116,"Normal, Dry, Combination, and Oily "
117,"Normal, Dry, Combination, and Oily "
118,"Normal, Dry, Combination, and Oily "
119,"Normal, Dry, Combination, and Oily "
120,Normal
121,"Normal, Dry, Combination, and Oily "
122,"Normal, Dry, Combination, and Oily "
123,Normal 
124,ERROR
125,"Normal, Dry, Combination, and Oily"
126,ERROR
127,ERROR
128,ERROR
129,"Normal, Dry, and Combination"
130,ERROR
131,"Normal, Dry, Combination, and Oily "
132,ERROR
133,ERROR
134,ERROR
135,"Normal, Dry, and Combination"
136,ERROR
137,"Normal, Dry, Combination, and Oily "
138,ERROR
139,"Normal, Dry, Combination, and Oily "
140,ERROR
141,ERROR
142,ERROR
143,ERROR
144,ERROR
145,ERROR
146,ERROR
147,ERROR
148,ERROR
149,ERROR
150,ERROR
151,ERROR
152,ERROR
153,ERROR
154,ERROR
155,"Normal, Dry, Combination, and Oily "
156,"Normal, Dry, Combination, and Oily "
157,"Normal, Dry, Combination, and Oily "
158,ERROR
159,"Normal, Dry, Combination, and Oily "
160,ERROR
161,ERROR
162,ERROR
163,"Normal, Dry, Combination, and Oily
"
164,"Normal, Dry, Combination, and Oily
"
165,"Normal, Dry, Combination, and Oily
"
166,Normal 
167,"Normal, Dry, Combination, and Oily "
168,"Normal, Dry, Combination, and Oily "
169,"Normal, Combination, and Oily
"
170,Dry 
171,"Normal, Dry, Combination, and Oily "
172,"Normal, Dry, Combination, and Oily
"
173,"Normal, Dry, Combination, and Oily
"
174,"Normal, Dry, Combination, and Oily
"
175,"Normal, Combination, and Oily
"
176,Normal 
177,Normal 
178,Oily 
179,Normal 
180,"Normal, Dry, Combination, and Oily
"
181,"Normal, Dry, Combination, and Oily "
182,Normal
183,"Normal, Dry, Combination, and Oily
"
184,Dry and Combination
185,Oily 
186,"Normal, Dry, Combination, and Oily
"
187,"Normal, Dry, Combination, and Oily
"
188,"Normal, Dry, Combination, and Oily"
189,"Normal, Dry, Combination, and Oily
"
190,"Normal, Dry, Combination, and Oily
"
191,ERROR
192,"Normal, Dry, and Combination
"
193,"Normal, Dry, and Combination 
"
194,"Normal, Dry, Combination, and Oily
"
195,ERROR
196,ERROR
197,"Normal, Combination, and Oily "
198,"Normal, Dry, Combination, and Oily "
199,"Normal, Dry, Combination, and Oily "
200,"Normal, Dry, Combination, and Oily"
201,Normal and Combination 
202,Combination and Oily 
203,"Normal, Combination, and Oily "
204,Combination and Oily 
205,"Normal, Dry, Combination, and Oily"
206,"Normal, Dry, Combination, and Oily"
207,"Normal, Combination, and Oily "
208,"Normal, Dry, Combination, and Oily "
209,Normal and Dry 
210,"Normal, Dry, Combination, and Oily
"
211, Combination and Oily 
212,"Combination and Oily
"
213,"Normal, Dry, Combination, and Oily "
214,"Normal, Dry, Combination, and Oily "
215,"Normal and Dry
"
216,"Normal, Dry, Combination, and Oily "
217,"Normal, Combination, and Oily "
218,"Normal, Dry, Combination, and Oily "
219,"Normal, Combination, and Oily "
220,"Normal, Dry, Combination, and Oily "
221," Combination and Oily
"
222,"Normal, Combination, and Oily "
223," Combination and Oily
"
224,"Normal, Dry, Combination, and Oily "
225,"Normal, Combination, and Oily "
226,ERROR
227,ERROR
228,ERROR
229,ERROR
230,ERROR
231,ERROR
232,"Normal, Dry, Combination, and Oily "
233,"Normal, Dry "
234,"Normal, Dry, Combination, and Oily "
235,ERROR
236,"Normal, Dry, Combination, and Oily "
237,ERROR
238,ERROR
239,ERROR
240,"Normal, Combination, and Oily"
241,Oily 
242,"Normal, Dry, Combination, and Oily "
243,ERROR
244,"Normal, Dry, Combination, and Oily
"
245,ERROR
246, Combination and Oily 
247,ERROR
248,ERROR
249,ERROR
250,ERROR
251,ERROR
252,ERROR
253,ERROR
254,ERROR
255,ERROR
256,ERROR
257,ERROR
258,ERROR
259,ERROR
260,ERROR
261,ERROR
262,ERROR
263,ERROR
264,ERROR
265,ERROR
266,ERROR
267,ERROR
268,"Normal, Dry, Combination, and Oily
"
269,ERROR
270,ERROR
271,ERROR
272,"Normal, Dry, Combination, and Oily "
273,ERROR
274,Normal and Dry 
275,ERROR
276,ERROR
277,"Normal, Dry, Combination, and Oily "
278,ERROR
