,col
0,"Normal, Dry, Combination, Oily "
1,"Normal, Dry, Combination, Oily "
2,"Normal, Dry, Combination, Oily "
3,"Normal, Dry, Combination, Oily "
4,"Normal, Dry, Combination, Oily "
5,"Normal, Dry, Combination, Oily "
6,"Normal, Dry, Combination, Oily, Sensitive "
7,"Normal, Dry, Combination, Oily "
8,Normal
9,Normal
10,"Normal, Dry, Combination, Oily, Sensitive "
11,Normal
12,"Normal, Dry, Combination, Oily, Sensitive "
13,"Normal, Dry, Combination, Oily "
14,"Normal, Dry, Combination, Oily "
15,"Normal, Dry, Combination, Oily "
16,"Normal, Dry, Combination, Oily, Sensitive "
17,"Normal, Dry, Combination, Oily, Sensitive "
18,Normal
19,"Normal, Dry, Combination, Oily "
20,"Normal, Dry, Combination, Oily, Sensitive "
21,Normal
22,Normal
23,"Normal, Dry"
24,"Normal, Dry, Combination, Oily, Sensitive "
25,Normal
26,"Normal, Dry, Combination, Oily, Sensitive "
27,"Normal, Dry, Combination, Oily, Sensitive "
28,"Normal, Dry, Combination, Oily "
29,"Normal, Dry, Combination, Oily "
30,"Normal, Dry, Combination, Oily "
31,"Normal, Dry, Combination, Oily "
32,"Normal, Dry, Combination, Oily "
33,"Normal, Dry, Combination, Oily "
34,"Normal, Dry, Combination, Oily "
35,"Normal, Dry, Combination, Oily "
36,"Normal, Dry, Combination, Oily "
37,"Normal, Dry, Combination, Oily "
38,"Normal, Dry, Combination, Oily "
39,"Normal, Dry, Combination, Oily "
40,"Normal, Dry, Combination, Oily "
41,"Normal, Combination, Oily "
42,"Normal, Combination, Oily "
43,"Normal, Dry, Combination, Oily "
44,"Normal, Dry, Combination, Oily "
45,"Normal, Dry, Combination, Oily "
46,"Normal, Dry, Combination, Oily "
47,"Normal, Dry, Combination, Oily "
48,"Normal, Dry, Combination, Oily "
49,"Normal, Combination, Oily"
50,"Normal, Dry, Combination, Oily"
51,"Normal, Combination, Oily"
52,"Normal, Dry, Combination, Oily, Sensitive "
53,"Oily, Combination"
54,"Normal, Dry, Combination, Oily"
55,"Normal, Dry, Combination, Oily, Sensitive "
56,"Normal, Dry, Combination, Sensitive"
57,"Normal, Dry, Combination, Oily "
58,"Normal, Dry, Combination, Oily "
59,"Normal, Dry, Combination, Oily, Sensitive "
60,"Normal, Dry, Combination, Oily "
61,"Normal, Dry, Combination, Oily, Sensitive "
