,col
0,"Normal, Dry, Combination, and Oily "
1,"Normal, Dry, Combination, and Oily "
2,"Normal, Dry, Combination, and Oily "
3,"Normal, Dry, Combination, and Oily "
4,"Normal, Dry, Combination, and Oily "
5,"Normal, Dry, Combination, and Oily "
6,"Normal, Dry, Combination, and Oily, Sensitive "
7,"Normal, Dry, Combination, and Oily "
8,Normal
9,Normal
10,"Normal, Dry, Combination, and Oily, Sensitive "
11,Normal
12,"Normal, Dry, Combination, and Oily, Sensitive "
13,"Normal, Dry, Combination, and Oily "
14,"Normal, Dry, Combination, and Oily "
15,"Normal, Dry, Combination, and Oily "
16,"Normal, Dry, Combination, and Oily, Sensitive "
17,"Normal, Dry, Combination, and Oily, Sensitive "
18,Normal
19,"Normal, Dry, Combination, and Oily "
20,"Normal, Dry, Combination, and Oily, Sensitive "
21,Normal
22,Normal
23,Normal and Dry
24,"Normal, Dry, Combination, and Oily, Sensitive "
25,Normal
26,"Normal, Dry, Combination, and Oily, Sensitive "
27,"Normal, Dry, Combination, and Oily, Sensitive "
28,"Normal, Dry, Combination, and Oily "
29,"Normal, Dry, Combination, and Oily "
30,"Normal, Dry, Combination, and Oily "
31,"Normal, Dry, Combination, and Oily "
32,"Normal, Dry, Combination, and Oily "
33,"Normal, Dry, Combination, and Oily "
34,"Normal, Dry, Combination, and Oily "
35,"Normal, Dry, Combination, and Oily "
36,"Normal, Dry, Combination, and Oily "
37,"Normal, Dry, Combination, and Oily "
38,"Normal, Dry, Combination, and Oily "
39,"Normal, Dry, Combination, and Oily "
40,"Normal, Dry, Combination, and Oily "
41,"Normal, Combination, and Oily "
42,"Normal, Combination, and Oily "
43,"Normal, Dry, Combination, and Oily "
44,"Normal, Dry, Combination, and Oily "
45,"Normal, Dry, Combination, and Oily "
46,"Normal, Dry, Combination, and Oily "
47,"Normal, Dry, Combination, and Oily "
48,"Normal, Dry, Combination, and Oily "
49,"Normal, Combination, and Oily"
50,"Normal, Dry, Combination, and Oily"
51,"Normal, Combination, and Oily"
52,"Normal, Dry, Combination, and Oily, Sensitive "
53,Oily and Combination
54,"Normal, Dry, Combination, and Oily"
55,"Normal, Dry, Combination, and Oily, Sensitive "
56,"Normal, Dry, and Combination, Sensitive"
57,"Normal, Dry, Combination, and Oily "
58,"Normal, Dry, Combination, and Oily "
59,"Normal, Dry, Combination, and Oily, Sensitive "
60,"Normal, Dry, Combination, and Oily "
61,"Normal, Dry, Combination, and Oily, Sensitive "
62,"Normal, Dry, and Combination, Sensitive"
63,"Normal, Dry, Combination, and Oily "
64,"Normal, Dry, Combination, and Oily "
65,"Normal, Dry, Combination, and Oily, Sensitive "
66,"Normal, Dry, and Combination "
67,"Normal, Dry, and Combination "
68,"Normal, Dry, and Combination "
69,"Normal, Dry, Combination, and Oily "
70,"Normal, Dry, and Combination "
71,"Normal, Dry, Combination, and Oily "
72,"Normal, Dry, Combination, and Oily "
73,"Normal, Combination, and Oily"
74,"Combination, Oily"
75,"Normal, Dry, Combination, and Oily "
76,"Normal, Dry, Combination, and Oily "
77,"Combination, Oily"
78,"Combination, Oily"
79,"Normal, Dry, Combination, and Oily "
80,"Normal, Dry, Combination, and Oily "
81,"Normal, Dry, Combination, and Oily "
82,"Normal, Dry, Combination, and Oily "
83,"Normal, Dry, Combination, and Oily "
84,Normal
85,"Normal, Dry, Combination, and Oily "
86,Normal
87,"Normal, Dry, Combination, and Oily "
88,"Normal, Dry, Combination, and Oily "
89,"Normal, Dry, Combination, and Oily "
90,"Normal, Dry, Combination, and Oily "
91,"Normal, Dry, Combination, and Oily "
92,"Normal, Dry, Combination, and Oily "
93, Dry 
94,"Normal, Dry, Combination, and Oily "
95,"Normal, Dry, Combination, and Oily "
96,"Normal, Dry, Combination, and Oily "
97,"Normal, Dry, Combination, and Oily "
98,"Normal, Dry, Combination, and Oily "
99,"Normal, Dry, Combination, and Oily "
100,"Normal, Dry, Combination, and Oily "
101,"Normal, Dry, Combination, and Oily "
102,"Normal, Dry, Combination, and Oily "
